标题,小区,年限,户型,面积,楼层,单价,装修,总价,地址1,地址2,地址3,发布日期,url
富力半岛花园 中高层实用两房 通风采光好 观景好 超高性价比,富力半岛花园,2001,2室2厅1卫,63.0,高层(共27层),35873.0,精装修,226,白云,罗冲围,增槎路43号,2018年06月14日,https://guangzhou.anjuke.com/prop/view/A1282140639?from=filter-saleMetro&spread=commsearch_p&position=23&kwtype=filter&now_time=1529383344
仙村一号 不限购 单合同 带重点学位 带装修 地鉄口 配车位,源海仙村一号,2018,3室2厅2卫,100.0,共1层,16000.0,毛坯,160,增城,石滩,仙村大道,2018年06月15日,https://guangzhou.anjuke.com/prop/view/A1284358176?from=filter&spread=commsearch_p&position=61&kwtype=filter&now_time=1529383364
广州北站板块全新一手住宅单价1字头地铁尚盖免中价费,祈福辉煌台,2015,3室2厅2卫,80.0,低层(共29层),18750.0,精装修,150,花都,旧区,云山大道2-2号,2018年06月08日,https://guangzhou.anjuke.com/prop/view/A1273769662?from=filter&spread=commsearch_p&position=78&kwtype=filter&now_time=1529383364
锦绣新天地 精装2房 中高层南向望花园 首付55即可拥有此房,锦绣新天地,2011,2室2厅1卫,80.0,中层(共24层),20000.0,精装修,160,增城,新塘,府前路29号,2018年06月14日,https://guangzhou.anjuke.com/prop/view/A1283084689?from=filter&spread=commsearch_p&position=77&kwtype=filter&now_time=1529383364
时代糖果188万2.5万白赚租金185.5万实际承购价,时代糖果,2013,4室2厅1卫,91.2,低层(共18层),20614.0,精装修,188,白云,金沙洲,里广路,2018年06月06日,https://guangzhou.anjuke.com/prop/view/A1271417463?from=filter&spread=commsearch_p&position=76&kwtype=filter&now_time=1529383364
万科四季花城 精装两房 业主急降15万 带省级名校 配套成熟,万科四季花城,2006,2室2厅1卫,71.0,中层(共6层),23661.0,精装修,168,白云,金沙洲,浔峰路8号,2018年06月16日,https://guangzhou.anjuke.com/prop/view/A1285762040?from=filter&spread=commsearch_p&position=120&kwtype=filter&now_time=1529383364
新收 带省级学位 少有南向两房 产权清晰 过五年 免重税,工业大道中421号大院,2013,3室2厅2卫,77.0,中层(共8层),23376.0,精装修,180,海珠,工业大道南,工业大道中421号,2018年06月17日,https://guangzhou.anjuke.com/prop/view/A1286136274?from=filter&spread=commsearch_p&position=119&kwtype=filter&now_time=1529383364
滨海珺城 精装两房 格局方正 位置安静 广外附小 欢迎看房,越秀滨海珺城,2014,2室2厅1卫,77.0,低层(共31层),22857.0,精装修,176,南沙,金洲,环市大道西,2018年06月08日,https://guangzhou.anjuke.com/prop/view/A1274650962?from=filter&spread=commsearch_p&position=118&kwtype=filter&now_time=1529383364
诚信真盘 沙河顶 95号大院 南向两房 小区中心位置 带装修,濂泉西路95号大院,1998,2室2厅1卫,70.0,中层(共9层),22571.0,精装修,158,天河,沙河,濂泉西路95号,2018年06月08日,https://guangzhou.anjuke.com/prop/view/A1274422457?from=filter-saleMetro&spread=commsearch_p&position=117&kwtype=filter&now_time=1529383364
保利桃花源 前后花园 通风采光好带车位 性价比高休闲度假小区,保利桃花源,2017,3室2厅3卫,127.0,共3层,13622.0,精装修,173,从化,温泉,温泉镇桃花源路,2018年05月09日,https://guangzhou.anjuke.com/prop/view/A1220960084?from=filter&spread=commsearch_p&position=116&kwtype=filter&now_time=1529383364
黄沙岗小区 性价比笋盘 学位房可公积金 送家电学位房,黄沙岗小区,2000,2室2厅1卫,78.0,高层(共7层),18589.0,精装修,145,白云,新市,黄沙岗大街18号,2018年06月10日,https://guangzhou.anjuke.com/prop/view/A1276821791?from=filter-salesxq&spread=commsearch_p&position=115&kwtype=filter&now_time=1529383364
汇侨北区  两房一厅  格局正  采光好南向  随时看房,汇侨新城北区,1998,2室1厅1卫,70.0,中层(共16层),32857.0,简单装修,230,白云,新市,汇侨中路28-32号,2018年04月17日,https://guangzhou.anjuke.com/prop/view/A1191349015?from=filter&spread=commsearch_p&position=114&kwtype=filter&now_time=1529383364
珠江嘉园 50万住现楼精装大两房 相信我 只有这个价格才能买,珠江嘉园,2018,3室2厅2卫,79.0,低层(共26层),22784.0,精装修,180,黄埔,长岭居,永顺大道,2018年06月14日,https://guangzhou.anjuke.com/prop/view/A1282023027?from=filter&spread=commsearch_p&position=113&kwtype=filter&now_time=1529383364
工业大道中 中层3房 大院管理 厅出阳台 超实用 送天台 随,296大院小区,1993,3室1厅1卫,70.0,中层(共9层),24285.0,精装修,170,海珠,工业大道南,工业大道中296号,2018年06月16日,https://guangzhou.anjuke.com/prop/view/A1285599038?from=filter&spread=commsearch_p&position=112&kwtype=filter&now_time=1529383364
花都广州北站一手现房，地铁尚盖，精装2房单价1字头,保利悦廷,2017,2室2厅1卫,72.0,高层(共23层),19722.0,精装修,142,花都,花都西,九潭南路10号,2018年06月08日,https://guangzhou.anjuke.com/prop/view/A1273761670?from=filter&spread=commsearch_p&position=111&kwtype=filter&now_time=1529383364
新都盛世名门  小区里正规一房一厅  高楼 步行500米,新都盛世名门,2012,1室1厅1卫,44.7,高层(共13层),25744.0,简单装修,115,增城,新塘,东进东路8号,2018年06月17日,https://guangzhou.anjuke.com/prop/view/A1286494072?from=filter&spread=commsearch_p&position=110&kwtype=filter&now_time=1529383364
新塘新景豪庭豪装3房600米地铁白江站，价格便宜,新景豪庭,2014,3室2厅1卫,88.9,中层(共14层),18001.0,精装修,160,增城,新塘,广深大道西228号,2018年06月09日,https://guangzhou.anjuke.com/prop/view/A1275605576?from=filter&spread=commsearch_p&position=109&kwtype=filter&now_time=1529383364
海珠区保利花园，一楼地下花园3房带主套环境优美，业主换房诚心,保利花园,2005,3室2厅2卫,99.0,低层(共12层),54545.0,简单装修,540,海珠,工业大道南,工业大道中400号,2018年06月09日,https://guangzhou.anjuke.com/prop/view/A1275650528?from=filter-saleMetro-salesxq&spread=commsearch_p&position=108&kwtype=filter&now_time=1529383364
祈福南湾半岛 独揽仙湖美景 低密度 地铁4号线到广州 不限购,祈福南湾半岛,2015,4室2厅3卫,177.0,低层(共6层),10621.0,精装修,188,广州周边,佛山,祈福大道,2018年06月13日,https://guangzhou.anjuke.com/prop/view/A1281523100?from=filter&spread=commsearch_p&position=107&kwtype=filter&now_time=1529383364
大石朝阳西路大四房，价格笋，房源真实，业主急卖,朝阳西路小区,1998,4室2厅2卫,116.0,低层(共8层),16206.0,精装修,188,番禺,大石,朝阳西路,2018年05月13日,https://guangzhou.anjuke.com/prop/view/A1227955632?from=filter&spread=commsearch_p&position=106&kwtype=filter&now_time=1529383364
松涛北苑 大三房采光足 正南向阳台送超大平台 笋 笋 笋,松涛北苑,1999,3室1厅1卫,84.0,低层(共9层),22380.0,精装修,188,白云,永泰,白云堡道22-183号、松涛南街14、18、20、24...,2018年05月23日,https://guangzhou.anjuke.com/prop/view/A1249233702?from=filter-saleMetro&spread=commsearch_p&position=105&kwtype=filter&now_time=1529383364
锦绣新天地  精装小三房   中高楼层望花园,锦绣新天地,2012,3室1厅1卫,90.0,中层(共26层),20000.0,精装修,180,增城,新塘,府前路29号,2018年06月13日,https://guangzhou.anjuke.com/prop/view/A1281411837?from=filter&spread=commsearch_p&position=104&kwtype=filter&now_time=1529383364
芷兰湾小四房实用格局 三加一户型 南北对流 产权清晰 免重税,顺德碧桂园芷兰湾,2010,4室2厅2卫,101.0,低层(共11层),17623.0,精装修,178,番禺,顺德碧桂园,三桂大道,2018年06月14日,https://guangzhou.anjuke.com/prop/view/A1282523697?from=filter&spread=commsearch_p&position=103&kwtype=filter&now_time=1529383364
本人实勘 晓港湾 低层炒笋两房 附带20方平台 地铁100米,晓港湾,1999,2室2厅1卫,52.0,低层(共9层),31730.0,精装修,165,海珠,东晓南,文华街64号,2018年06月03日,https://guangzhou.anjuke.com/prop/view/A1266470187?from=filter-saleMetro&spread=commsearch_p&position=102&kwtype=filter&now_time=1529383364
锦绣新天地 南向三房 带92方花园 税费少,锦绣新天地,2011,3室2厅1卫,92.0,中层(共22层),19021.0,精装修,175,增城,新塘,府前路29号,2018年06月09日,https://guangzhou.anjuke.com/prop/view/A1275699049?from=filter&spread=commsearch_p&position=101&kwtype=filter&now_time=1529383364
江南新村 南向一楼两房 格局方正实用,江南新邨,1995,2室1厅1卫,82.0,低层(共8层),20731.0,精装修,170,番禺,市桥,东环路242号,2018年06月08日,https://guangzhou.anjuke.com/prop/view/A1273736571?from=filter-saleMetro-salesxq&spread=commsearch_p&position=100&kwtype=filter&now_time=1529383364
御景世嘉 市中心 地铁江埔站约600米 地铁2站到嘉禾望岗,名城御景绿洲,2012,4室2厅2卫,117.0,低层(共32层),15554.0,精装修,182,从化,街口,河东南路388号,2018年06月11日,https://guangzhou.anjuke.com/prop/view/A1277794093?from=filter&spread=commsearch_p&position=99&kwtype=filter&now_time=1529383364
春庭花园 实用大两房格局方正 南向 业主诚心售卖 真盘实价,春庭花园,1999,2室1厅1卫,66.5,低层(共9层),23308.0,精装修,155,白云,白云大道,春庭街2号,2018年05月27日,https://guangzhou.anjuke.com/prop/view/A1256966945?from=filter-saleMetro&spread=commsearch_p&position=98&kwtype=filter&now_time=1529383364
